stargate_id,solar_system_id,destination_stargate_id,destination_system_id,type_id,planet_id,lagrange_point,x,y,z
50000029,30014173,50000030,30014183,79787,40149713,3,118588052123.126,-46655363764.0047,950083137980.437
50000030,30014183,50000029,30014173,79787,40149842,2,-2232070160553.68,836239028323.155,3428471921414.36
50000031,30014188,50000032,30014190,79881,40149896,4,16062945807.1884,12507533690.3807,75933481484.347
50000032,30014190,50000031,30014188,79881,40149924,3,-267015643947.485,-59980752152.4093,155386926130.738
50000033,30014258,50000034,30014263,79881,40150723,3,310366174698.356,-36510287765.4103,32953095085.2834
50000034,30014263,50000033,30014258,79787,40150797,5,-897490222863.011,204870358701.794,-1584000384288.73
50000035,30014242,50000036,30014255,79787,40150536,3,2781983346242.36,712132745963.171,3190083677404.2
50000036,30014255,50000035,30014242,79881,40150676,3,-7838674087650.04,338335030752.738,1360654051193.7
50000037,30014131,50000038,30014256,79787,40149255,3,39571690709.697,6878469028.30091,-27532690671.6466
50000038,30014256,50000037,30014131,79787,40150698,5,-1379414256432.05,146364588445.544,-99882335001.5645
50000039,30014254,50000040,30014256,79787,40150651,5,821571604416.376,62773875697.8726,301464605027.929
50000040,30014256,50000039,30014254,79881,40150698,2,-639535315656.575,-25494962826.7736,-1301314602802.64
50000041,30014254,50000042,30014265,79881,40150651,3,-148816447343.4,-34729713366.6495,-863972731483.832
50000042,30014265,50000041,30014254,79881,40150810,5,-332595301547.543,-30440630844.7042,-302007555170.296
50000043,30014102,50000044,30014108,79881,40148901,2,299013969905.887,-1453159061.85737,-24692392029.9497
50000044,30014108,50000043,30014102,79881,40148978,5,-1805955255044.44,398129333557.3,-448141623624.798
50000045,30014100,50000046,30014184,79881,40148892,2,-766873035619.434,-258887425242.828,2012192055199.73
50000046,30014184,50000045,30014100,79881,40149845,4,-297404943399.042,47674683922.9222,178606581359.63
50000047,30014131,50000048,30014138,79787,40149255,4,-42469405992.5468,-11520069707.5144,-20854703210.3559
50000048,30014138,50000047,30014131,79787,40149343,5,-5147880918.53426,-21505948.7568959,-2750966924.45961
50000049,30014172,50000050,30014176,79787,40149706,5,408081395103.263,25523667117.3438,20953361349.1503
50000050,30014176,50000049,30014172,79881,40149726,5,-438026743208.516,-339502348.392075,-508129757911.561
50000051,30014174,50000052,30014189,79787,40149718,2,-18775639453.5643,5003678720.30835,-3119712361.27121
50000052,30014189,50000051,30014174,79787,40149912,5,1086249576008.27,-23258576822.1107,-3349103582550.08
50000053,30014256,50000054,30014263,79787,40150698,3,613318259348.868,24449824490.189,1247968622712.87
50000054,30014263,50000053,30014256,79787,40150797,2,965148195253.703,172754528485.223,-1619200310095.67
50000055,30014171,50000056,30014188,79787,40149691,3,-4221473298156.05,62660558347.1598,-1920590452736.22
50000056,30014188,50000055,30014171,79787,40149896,3,-73774858107.2685,-15044816756.5531,-22611369648.221
50000057,30014256,50000058,30014267,79787,40150698,4,766095997083.185,-170814412935.733,-1148086287711.31
50000058,30014267,50000057,30014256,79787,40150849,5,-746065865650.519,48137062177.409,-231382210217.479
50000059,30014263,50000060,30014265,79881,40150797,4,1831615419937.78,-37668721937.1951,16846431963.2406
50000060,30014265,50000059,30014263,79881,40150810,3,-78409724116.0915,-99611300036.2609,432069825452.772
50000061,30014202,50000062,30014235,79787,40150075,4,-142180026055.328,-4343436964.74242,179145055210.269
50000062,30014235,50000061,30014202,79881,40150461,3,-1100433318256.47,-140008967798.216,440980441462.815
50000063,30014092,50000064,30014099,79787,40148744,5,1936554581604.33,-121326733624.898,-2474761401762.45
50000064,30014099,50000063,30014092,79881,40148879,3,-260579696670.27,-10027959361.4578,104299329236.985
50000065,30014173,50000066,30014190,79787,40149713,5,-869522719440.151,-131445498117.97,-381510340031.547
50000066,30014190,50000065,30014173,79881,40149924,5,2991979109.34956,-2930441602.67699,-314678569538.57
50000067,30014254,50000068,30014264,79787,40150651,4,-672755157072.975,-28044162331.223,562508126455.903
50000068,30014264,50000067,30014254,79881,40150801,3,-412320680732.55,211885448647.395,-370688049797.469
50000069,30014176,50000070,30014182,79787,40149726,4,659040795362.003,-6393538132.8155,-125250735014.721
50000070,30014182,50000069,30014176,79787,40149825,5,41720831953.317,7070617861.56254,-122649086803.426
50000071,30014157,50000072,30014172,79787,40149497,4,-9208560132.98289,3213214394.2143,8288418991.35976
50000072,30014172,50000071,30014157,79787,40149706,4,-222831725811.037,-2877203960.24887,343451116803.857
50000073,30014102,50000074,30014106,79787,40148901,3,-283143559090.506,1376031457.08684,23381823143.6429
50000074,30014106,50000073,30014102,79881,40148946,4,-1083766862563.92,-98128715309.728,4520141989829.26
50000075,30014131,50000076,30014258,79881,40149255,2,-40148680957.9825,-6978763190.14452,27934141651.9229
50000076,30014258,50000075,30014131,79787,40150723,5,-185575736871.095,3624026250.20033,253563763782.981
50000077,30014264,50000078,30014265,79881,40150801,4,-118500832183.407,-47922218998.8934,579633014129.608
50000078,30014265,50000077,30014264,79787,40150810,2,78929259465.3114,100271315004.225,-434932678883.064
50000079,30014563,50000080,30014660,79881,40154294,3,1652947710628.4,-238201891568.228,-178182761092.057
50000080,30014660,50000079,30014563,79881,40155585,4,-205116214780.507,28984208430.2991,205133888808.679
50000081,30014554,50000082,30014606,79787,40154173,5,-1073510502224.96,-162660756582.28,496770474125.831
50000082,30014606,50000081,30014554,79881,40154842,3,-321999944803.806,-10243263785.9033,-104611844954.002
50000083,30014655,50000084,30014657,79881,40155542,5,-2737636576494.79,-84857001963.649,-703504263494.679
50000084,30014657,50000083,30014655,79787,40155552,2,-1764016910707.27,-138821690298.471,-294104327835.665
50000085,30014614,50000086,30014625,79787,40154945,2,413377792393.304,-47366127445.0346,631202088015.974
50000086,30014625,50000085,30014614,79787,40155141,4,-3006076053630.76,-753157135656.586,227338013158.601
50000087,30014554,50000088,30014601,79787,40154173,4,84248423107.7405,342447369186.976,-1140743716451.33
50000088,30014601,50000087,30014554,79881,40154789,4,-1246833528895.8,198442830877.731,1252777565643.52
50000089,30014628,50000090,30014630,79881,40155199,5,-3871029088350.05,989448948194.749,1525658291797.38
50000090,30014630,50000089,30014628,79787,40155218,3,-413671470792.527,58500551763.5316,310400350900.271
50000091,30014621,50000092,30014627,79881,40155037,5,1058799811039.25,-33155612695.5164,48348592539.4618
50000092,30014627,50000091,30014621,79787,40155194,3,-1862403728891.05,-21718649692.0378,1727840793297.37
50000093,30014657,50000094,30014665,79881,40155552,5,-1068563506863.4,-237326483048.344,1311593375190.53
50000094,30014665,50000093,30014657,79787,40155640,3,-29549370218.0043,114814389.726308,-24356825711.2939
50000095,30014588,50000096,30014589,79787,40154626,4,413101308930.461,-155121118452.285,-1197190815462.98
50000096,30014589,50000095,30014588,79787,40154645,4,-1814647685469.21,-496832495536.871,-851047812161.393
50000097,30014605,50000098,30014632,79881,40154838,3,2763376337312.38,-392488904253.694,261861989229.259
50000098,30014632,50000097,30014605,79881,40155243,5,-2211302125643.8,455698577277.752,-2912306514372.84
50000099,30014660,50000100,30014666,79787,40155585,3,-74132386065.939,4440239196.14263,-281917242917.203
50000100,30014666,50000099,30014660,79881,40155643,2,-21608470669.1014,-291358928.825415,-4102561391.87098
50000101,30014616,50000102,30014618,79787,40154980,5,-41700170401.8692,158338667158.91,650678880593.755
50000102,30014618,50000101,30014616,79787,40154997,3,-4429689690.81731,802334817.64306,-72473072.9057732
50000103,30014601,50000104,30014602,79881,40154789,3,-426461521966.057,186770219656.905,-1716587454869.97
50000104,30014602,50000103,30014601,79787,40154807,4,-732526955253.173,-29711850497.2338,794463506153.588
50000105,30014602,50000106,30014603,79881,40154807,3,-322182783054.725,26180172881.7632,-1031583079394.63
50000106,30014603,50000105,30014602,79787,40154821,3,-1666449357498.9,93540133303.8942,2075543941253.03
50000107,30014573,50000108,30014623,79881,40154462,4,-332364994.221279,-2236883666.11869,-16422807116.3527
50000108,30014623,50000107,30014573,79881,40155069,3,-104566696504.241,32271721335.8357,60228431461.7688
50000109,30014663,50000110,30014665,79787,40155633,3,1327271070602.85,-11116009959.7711,1147786319402.69
50000110,30014665,50000109,30014663,79787,40155640,4,-6232504707.08767,2825718005.86066,37677640905.2186
50000111,30014662,50000112,30014668,79787,40155602,4,343288942906.845,-31999729992.9521,-23456739579.0217
50000112,30014668,50000111,30014662,79881,40155672,4,-949795379415.261,-15128971918.3458,178967859256.991
50000113,30014584,50000114,30014591,79787,40154572,4,-112990515625.372,3549450411.30781,45164980668.9167
50000114,30014591,50000113,30014584,79787,40154677,4,-584883190233.058,17800850931.8739,-306348049001.977
50000115,30014614,50000116,30014628,79881,40154945,3,-380606924468.669,43611138340.2357,-581163018088.277
50000116,30014628,50000115,30014614,79787,40155199,2,-3600561232639.0,503152967443.133,-2923245248504.39
50000117,30014651,50000118,30014653,79787,40155481,4,-44374456266.497,-8308502148.77662,-21854988581.6389
50000118,30014653,50000117,30014651,79881,40155499,4,-1895559071669.46,20362596200.8303,-337218961686.537
50000119,30014632,50000120,30014634,79881,40155243,3,-1436049120413.24,-228640208906.758,3385931791471.84
50000120,30014634,50000119,30014632,79881,40155283,5,-3276389859043.81,-34164334449.8104,-1111000945392.12
50000121,30014591,50000122,30014592,79881,40154677,2,-565917537034.313,29733943379.14,359004604997.821
50000122,30014592,50000121,30014591,79787,40154697,2,-1744147976560.4,387475371924.435,561432093636.166
50000123,30014605,50000124,30014634,79787,40154838,2,-2767156796741.07,393025851885.005,-262220231649.167
50000124,30014634,50000123,30014605,79881,40155283,2,-715396485545.355,-452659969887.692,-3532647839443.57
50000125,30014616,50000126,30014621,79787,40154980,3,597917637965.697,-126882197482.282,-276746182541.937
50000126,30014621,50000125,30014616,79881,40155037,4,-571137534582.374,21485550103.0296,893215656288.255
50000127,30014602,50000128,30014606,79881,40154807,2,322982193713.941,-26245131999.2659,1034142677712.44
50000128,30014606,50000127,30014602,79787,40154842,4,72480885238.2185,-36546452236.9793,328851646058.365
50000129,30014619,50000130,30014630,79787,40155007,2,1399061522085.45,-213726839772.761,-1094955788553.64
50000130,30014630,50000129,30014619,79787,40155218,5,-65471325876.051,-53171512989.2908,-513596216728.436
50000131,30014601,50000132,30014618,79881,40154789,2,427783588340.321,-187349222953.577,1721909019502.82
50000132,30014618,50000131,30014601,79787,40154997,4,2141227030.58109,-455507103.017155,3934311165.30475
50000133,30014605,50000134,30014606,79881,40154838,5,-1570666654495.14,470200317305.317,2273936222730.61
50000134,30014606,50000133,30014605,79787,40154842,5,249519059565.588,46789716022.8826,-224239801104.364
50000135,30014663,50000136,30014668,79787,40155633,5,-1657628172497.86,11949537752.4741,575596686781.243
50000136,30014668,50000135,30014663,79881,40155672,2,-320797322941.158,-37337075017.0052,915147361059.865
50000137,30014573,50000138,30014621,79787,40154462,5,-13722452537.9962,4748500654.39085,7998046416.70368
50000138,30014621,50000137,30014573,79787,40155037,3,-487662276456.879,11670062592.4868,-941564248827.717
50000139,30014641,50000140,30014657,79787,40155392,4,29599769332.9323,-1861901475.83955,-73147462125.6788
50000140,30014657,50000139,30014641,79881,40155552,4,-611463956367.511,105114455613.722,-1591694628653.5
50000141,30014623,50000142,30014627,79881,40155069,2,105420602007.772,-32535256489.7457,-60720264816.112
50000142,30014627,50000141,30014623,79881,40155194,5,-518422265773.348,-515671931769.859,-2433058562642.78
50000143,30014573,50000144,30014616,79881,40154462,2,-14075585129.5111,2515328189.07919,-8437209245.28855
50000144,30014616,50000143,30014573,79881,40154980,2,-632952904140.402,134316919723.873,292962255714.119
50000145,30014662,50000146,30014666,79787,40155602,2,167132813033.839,-2810913405.27312,-339821567838.894
50000146,30014666,50000145,30014662,79881,40155643,5,-13932353110.7539,-535052196.429941,16174147625.3753
50000147,30014603,50000148,30014634,79881,40154821,2,1671361984112.65,-93815885907.0288,-2081662562474.81
50000148,30014634,50000147,30014603,79881,40155283,3,681352561423.485,431119017451.901,3364537990674.01
50000149,30014699,50000150,30014719,79787,40156063,2,-68307230.7184032,3465289219.23626,27620197832.0938
50000150,30014719,50000149,30014699,79787,40156257,2,-1353403661533.96,-84644263989.5947,696399456942.575
50000151,30014692,50000152,30014707,79881,40155965,2,127954376026.87,-2028337435.24234,-52143207041.6416
50000152,30014707,50000151,30014692,79881,40156136,3,-2221054710833.83,52867447954.4472,-1584673666837.09
50000153,30014743,50000154,30014770,79787,40156577,2,-32810843180.7662,-33891126881.721,-172754226236.085
50000154,30014770,50000153,30014743,79787,40156817,5,-374186655192.668,-69100009481.565,-370449871111.066
50000155,30014736,50000156,30014739,79787,40156474,5,-719833935612.076,70148024695.9989,-421452909499.944
50000156,30014739,50000155,30014736,79881,40156517,3,-524084526044.997,-5348912045.59312,326515548165.617
50000157,30014702,50000158,30014705,79787,40156081,5,-332377164227.987,-25977685479.1497,171876444751.464
50000158,30014705,50000157,30014702,79881,40156114,2,-26568221799.8782,-58103172.1674331,10005243555.3353
50000159,30014738,50000160,30014739,79881,40156494,4,1245632209927.21,-291085116438.069,752591774954.617
50000160,30014739,50000159,30014738,79787,40156517,5,-20566070486.1183,-10020518290.7492,-617075546794.49
50000161,30014679,50000162,30014689,79881,40155788,3,-173137840299.904,191432237223.927,-813384769105.206
50000162,30014689,50000161,30014679,79881,40155947,3,-798147901959.663,12292902306.295,577117843807.979
50000163,30014731,50000164,30014736,79881,40156368,3,-2329043910523.0,589012944884.988,-1107056210758.98
50000164,30014736,50000163,30014731,79881,40156474,3,-5497641916.50169,-23801357392.5506,836724247570.918
50000165,30014734,50000166,30014746,79787,40156412,3,25253788801.3146,-3915485644.89756,20028364077.3619
50000166,30014746,50000165,30014734,79787,40156602,3,-264368239535.585,6097356774.29969,226102048677.001
50000167,30014765,50000168,30014770,79787,40156773,5,-192501739388.12,418862820.727215,-16738477609.3673
50000168,30014770,50000167,30014765,79881,40156817,3,-128526405899.42,-22976505815.8743,514758792453.228
50000169,30014746,50000170,30014765,79787,40156602,5,-61604845920.9403,34751625124.8127,-340656788807.967
50000170,30014765,50000169,30014746,79881,40156773,2,-85832078355.9159,3574501151.52672,-183789509453.003
50000171,30014770,50000172,30014802,79881,40156817,2,144180953422.768,25775049816.9924,-577456538672.214
50000172,30014802,50000171,30014770,79787,40157213,2,-697049758287.803,-28126217795.1687,-261968204669.471
50000173,30014697,50000174,30014705,79787,40156045,2,-221543730649.518,-90589866247.7816,438514637902.761
50000174,30014705,50000173,30014697,79881,40156114,4,-21575011674.1916,6103020095.29435,-17180287085.4128
50000175,30014732,50000176,30014802,79787,40156393,4,1503767938457.98,-418183791175.578,-1765425607857.84
50000176,30014802,50000175,30014732,79881,40157213,5,-541901077971.403,42392278805.952,441433180021.805
50000177,30014700,50000178,30014701,79881,40156070,5,13094708149.5308,-674077624.286621,9556584927.70879
50000178,30014701,50000177,30014700,79881,40156075,5,-222789962246.409,51130600674.5662,99412649309.9574
50000179,30014696,50000180,30014708,79787,40156025,2,-146573410681.131,-11475046888.6928,62438696160.0894
50000180,30014708,50000179,30014696,79787,40156149,4,-362356473043.726,-71640986682.0715,153813809357.11
50000181,30014734,50000182,30014739,79881,40156412,2,-25477258784.6495,3950133654.29913,-20205594441.5582
50000182,30014739,50000181,30014734,79787,40156517,2,531412759820.693,5423705472.92736,-331081190060.092
50000183,30014689,50000184,30014691,79787,40155947,5,-93758742691.1307,122362623018.163,-972878656949.769
50000184,30014691,50000183,30014689,79787,40155954,3,-36560138612.288,-848235692.641478,-28357626427.2058
50000185,30014703,50000186,30014719,79881,40156093,4,162667908715.549,-33047635973.1437,569346213403.989
50000186,30014719,50000185,30014703,79787,40156257,4,-1276687846397.24,-73685151365.3094,-824663796453.986
50000187,30014691,50000188,30014703,79881,40155954,4,-6287402396.61938,867649707.26209,45839218697.6765
50000188,30014703,50000187,30014691,79881,40156093,3,-571764512062.701,69069375517.4623,-141502189375.618
50000189,30014702,50000190,30014708,79787,40156081,2,-355092430814.654,-975170168.880991,-226976144025.346
50000190,30014708,50000189,30014702,79881,40156149,2,-50293345872.2387,-12126666288.9823,398397263255.516
50000191,30014679,50000192,30014701,79787,40155788,2,178967930504.942,-197878356739.074,840773967024.463
50000192,30014701,50000191,30014679,79787,40156075,2,-189790721287.501,76083499845.2562,-148009409088.762
50000193,30014732,50000194,30014739,79881,40156393,2,-661753154610.254,395860443250.079,-2235946626983.65
50000194,30014739,50000193,30014732,79787,40156517,4,544650596531.115,15369430336.3423,290559998628.873
50000195,30014679,50000196,30014696,79881,40155788,5,808534098024.27,-110621080621.65,249506281802.244
50000196,30014696,50000195,30014679,79881,40156025,4,-114600746041.269,-2781958888.04885,-86129312928.0431
50000197,30014738,50000198,30014741,79787,40156494,2,1347925606667.66,239342111101.735,-645848890687.697
50000198,30014741,50000197,30014738,79881,40156546,2,-7264565176984.37,-28905854355.5944,-1256087379535.25
50000199,30014691,50000200,30014692,79881,40155954,2,36639294052.5027,850072186.489843,28419022813.7757
50000200,30014692,50000199,30014691,79787,40155965,3,-127125910354.65,2015204567.19238,51805595633.4599
50000201,30014698,50000202,30014700,79787,40156056,5,349162518376.2,55339396261.1152,-703557163706.081
50000202,30014700,50000201,30014698,79881,40156070,4,-14786817334.104,1189749602.13754,6571803911.98026
50000203,30014734,50000204,30014743,79881,40156412,5,-30117914975.5596,1759418026.11153,12001495323.7721
50000204,30014743,50000203,30014734,79787,40156577,5,-162386219273.762,-13596502851.8817,-55758590964.9407
50000205,30014697,50000206,30014698,79881,40156045,3,221104240021.547,90410157270.7397,-437644728052.36
50000206,30014698,50000205,30014697,79787,40156056,3,-773403082633.55,-140451598097.345,45723254305.9236
50000207,30014738,50000208,30014744,79881,40156494,5,75980476073.9323,525755018665.349,-1385833018351.42
50000208,30014744,50000207,30014738,79787,40156589,5,-69972335215.4978,-12989977039.9178,-21101629120.8161
50000209,30014700,50000210,30014703,79787,40156070,2,-1804097607.56025,549800562.521844,17195809812.2516
50000210,30014703,50000209,30014700,79787,40156093,5,409096603347.151,-36021739544.3187,-427844024028.37
50000211,30014741,50000212,30014744,79787,40156546,5,-4588893178685.98,572064039515.556,5481126933343.73
50000212,30014744,50000211,30014741,79787,40156589,2,-17617544827.5769,-271700005.15981,-72296965968.3892
50000213,30014692,50000214,30014708,79881,40155965,4,108415288548.875,-2141895386.1785,84204604178.7652
50000214,30014708,50000213,30014692,79787,40156149,3,50089836734.8313,12077596429.8727,-396785171596.381
50000215,30015393,50000216,30015396,79787,40164408,2,206676993988.758,-19070552805.836,-340494374758.131
50000216,30015396,50000215,30015393,79787,40164442,4,-468206121835.037,16068885254.8868,124626576937.209
50000217,30015323,50000218,30015336,79881,40163651,2,-11089193703.9949,-69619115532.59,-1955528322793.5
50000218,30015336,50000217,30015323,79881,40163797,5,-239531038112.608,-7116438246.46474,53113330455.3023
50000219,30015415,50000220,30015419,79787,40164646,4,-4286668056264.7,-1234527610669.11,-1326653163751.88
50000220,30015419,50000219,30015415,79787,40164670,5,-90397261451.5695,-3937141048.31281,-71052457172.9019
50000221,30015356,50000222,30015369,79787,40164012,5,-767946595963.185,-92879540738.6082,-1196585012058.36
50000222,30015369,50000221,30015356,79881,40164212,4,-2237653991067.23,516330184046.943,442699397265.467
50000223,30015367,50000224,30015374,79787,40164183,5,-3504768675128.07,528451006409.4,845033311435.654
50000224,30015374,50000223,30015367,79787,40164265,4,-828872569791.614,-13005893072.6428,-266903379142.236
50000225,30015298,50000226,30015369,79881,40163346,2,3961186627221.8,-227215375906.434,5107427376900.27
50000226,30015369,50000225,30015298,79787,40164212,2,-938606357826.607,-183567306950.128,2472574355115.18
50000227,30015377,50000228,30015378,79787,40164296,3,20920297178.5456,-2744034741.78108,-37157548065.8328
50000228,30015378,50000227,30015377,79881,40164311,5,-934080574009.171,312120352430.772,-283225811308.971
50000229,30015410,50000230,30015420,79787,40164580,2,-32445963202.3122,438676386.678382,-46602682875.5644
50000230,30015420,50000229,30015410,79787,40164675,3,-952750804687.191,-360442811008.039,-176827172171.82
50000231,30015367,50000232,30015378,79787,40164183,2,-2430399319212.18,697739457679.153,-2638078756203.49
50000232,30015378,50000231,30015367,79881,40164311,2,-169740438904.537,303333335568.196,-969991830699.819
50000233,30015393,50000234,30015399,79787,40164408,4,386093847134.029,1381793003.19298,8140897738.6565
50000234,30015399,50000233,30015393,79881,40164498,3,-199779719902.715,11498238770.5724,26567287513.2386
50000235,30015399,50000236,30015406,79787,40164498,5,76593457457.3281,-10328332352.5734,-186485212739.752
50000236,30015406,50000235,30015399,79881,40164550,2,-51148967516.2149,6556887416.96413,-10295293717.5526
50000237,30015410,50000238,30015415,79881,40164580,3,28509497060.575,-385454519.521237,40948670322.1413
50000238,30015415,50000237,30015410,79787,40164646,2,-3537651803864.23,249105239449.731,3024043595863.22
50000239,30015332,50000240,30015343,79787,40163759,4,26421066472.2204,-15105888071.6994,222885841171.463
50000240,30015343,50000239,30015332,79881,40163899,4,-893359048376.953,21939587624.8695,642637790150.843
50000241,30015410,50000242,30015419,79881,40164580,5,-49718118726.9347,248681829.204168,4216684312.01794
50000242,30015419,50000241,30015410,79787,40164670,3,-16279236131.9901,13220451420.1501,113118626950.167
50000243,30015410,50000244,30015414,79881,40164580,4,21208621666.3597,136772690.317069,-45165354634.1592
50000244,30015414,50000243,30015410,79881,40164627,5,-395606055578.824,17735188291.7939,-147114153570.907
50000245,30015390,50000246,30015391,79787,40164392,3,177348979807.469,-4572525968.61995,-19473824612.2788
50000246,30015391,50000245,30015390,79881,40164404,5,-91938375155.897,-10631698655.3935,16375912048.2323
50000247,30015380,50000248,30015391,79787,40164320,5,-50531957362.6422,-496374131.372592,-20161209958.281
50000248,30015391,50000247,30015380,79787,40164404,2,-60961118847.0192,928570408.409418,-71655445940.9151
50000249,30015399,50000250,30015409,79881,40164498,4,123186262445.387,-1169906417.99899,159917925226.514
50000250,30015409,50000249,30015399,79881,40164574,3,-59083983410.6793,-8507059203.03842,13203251725.0486
50000251,30015390,50000252,30015399,79787,40164392,2,-192884270155.0,4973066860.48893,21179678910.7195
50000252,30015399,50000251,30015390,79787,40164498,2,203049928646.449,-11686454276.0471,-27002169371.9448
50000253,30015291,50000254,30015304,79881,40163215,3,-2332223866357.51,-113737231283.178,-1814539040907.17
50000254,30015304,50000253,30015291,79881,40163423,4,-6124041681.64888,746130540.970276,7840730738.69504
50000255,30015298,50000256,30015302,79787,40163346,5,6013239193363.88,-453943524117.766,-829834790201.475
50000256,30015302,50000255,30015298,79787,40163417,5,-195094749217.127,-1839981226.10557,-17345593218.7004
50000257,30015419,50000258,30015420,79881,40164670,2,16903887608.0934,-13727734097.7519,-117459108083.698
50000258,30015420,50000257,30015419,79881,40164675,4,268140973140.504,308061513007.858,949799709088.355
50000259,30015375,50000260,30015376,79787,40164283,3,315358483138.616,20072415128.5088,606865241317.676
50000260,30015376,50000259,30015375,79881,40164292,5,-1920658048647.95,-7743121054.82757,-150413131098.875
50000261,30015295,50000262,30015357,79787,40163291,3,-83874770850.8212,896270445.308232,12837804672.1029
50000262,30015357,50000261,30015295,79787,40164032,5,-2826788051403.11,-52827598012.5964,1244123454521.79
50000263,30015295,50000264,30015366,79787,40163291,2,84125795650.0458,-898952850.354496,-12876226325.0935
50000264,30015366,50000263,30015295,79881,40164177,5,-610015289618.699,-103421701804.925,190388890957.261
50000265,30015378,50000266,30015391,79881,40164311,4,765267110581.155,-10443561202.2603,-681468762913.328
50000266,30015391,50000265,30015378,79787,40164404,4,31038425810.8367,11559337319.2665,-87959457603.7256
50000267,30015374,50000268,30015375,79881,40164265,2,-661502646877.198,35250191617.5859,597344140939.456
50000268,30015375,50000267,30015374,79787,40164283,5,-683493905675.335,-7688493153.37103,-30269850244.9007
50000269,30015377,50000270,30015380,79881,40164296,5,21801859766.4981,2056466519.84325,36692257972.7953
50000270,30015380,50000269,30015377,79787,40164320,2,-7861882769.7129,1769292439.11167,-53974455054.266
50000271,30015356,50000272,30015357,79787,40164012,4,1391011046279.64,301129639202.243,-67775245804.7621
50000272,30015357,50000271,30015356,79881,40164032,2,-2499368190717.36,-87280402590.558,-1833196187433.48
50000273,30015393,50000274,30015406,79881,40164408,3,-200154153943.487,18468675629.6365,329748184289.624
50000274,30015406,50000273,30015393,79787,40164550,5,-33196188183.7605,12412446198.5257,38739601042.2187
50000275,30015324,50000276,30015392,79881,40163664,5,-133515437659.925,-26412344706.4177,-101120922837.804
50000276,30015392,50000275,30015324,79881,40164406,4,-4846328385.88398,-1188554626.71022,111095601.878886
50000277,30015414,50000278,30015415,79787,40164627,4,321337333798.521,-67732282353.5488,-265736557759.188
50000278,30015415,50000277,30015414,79787,40164646,5,754091662765.868,1483275462963.61,4346358214426.71
50000279,30015332,50000280,30015336,79787,40163759,5,180211757258.633,4893128416.28053,-134551620736.178
50000280,30015336,50000279,30015332,79881,40163797,2,-168404349571.981,10415940657.4194,-182972947594.646
50000281,30015296,50000282,30015305,79881,40163305,5,-371246828657.097,368541123019.858,-2680677585552.7
50000282,30015305,50000281,30015296,79787,40163439,3,-1654887417980.79,321182879781.489,102223880223.285
