solar_system_id,security,security_class,frost_line,luminosity,center_x,center_y,center_z,min_x,min_y,min_z,max_x,max_y,max_z,habitable_zone_inner,habitable_zone_outer,remnant_dust_mass,remnant_gas_mass,potential,system_radius
30000013,0.0,D1,398231928832.0,3.72105175804187e+26,-5.90530042090196e+18,-1.8636470395457e+18,1.85334861034232e+18,-5.90531209504842e+18,-1.8636470395457e+18,1.85333693619587e+18,-5.9052887467555e+18,-1.8636470395457e+18,1.85336028448878e+18,140568838144.0,202510450688.0,1.92712628052582e+25,7.71274177843598e+28,0.894986629486084,11674146832384.0
30000014,0.0,D1,11301569536.0,2.99689208942804e+23,-5.70110608658985e+18,-1.29471529922419e+18,2.30225245133286e+18,-5.70111467744886e+18,-1.29471529922419e+18,2.30224386047385e+18,-5.70109749573083e+18,-1.29471529922419e+18,2.30226104219188e+18,3989381376.0,5747301376.0,1.58945736204291e+24,1.23790801573767e+27,0.907191634178162,8590858911744.0
30000015,0.0,D1,222472503296.0,1.16130490415231e+26,-6.57452365050224e+18,-2.2259028323986e+18,3.01505552743617e+18,-6.57453038780463e+18,-2.2259028323986e+18,3.01504879013378e+18,-6.57451691319986e+18,-2.2259028323986e+18,3.01506226473855e+18,78534221824.0,113140310016.0,6.77786042722419e+25,4.42821405254488e+28,0.834069907665253,6737302126592.0
30000016,0.0,D1,479048499200.0,5.3845890998508e+26,-6.23938734359139e+18,-2.08614891368605e+18,2.99843475197925e+18,-6.23940206378181e+18,-2.08614891368605e+18,2.99842003178883e+18,-6.23937262340096e+18,-2.08614891368605e+18,2.99844947216968e+18,169114828800.0,243635224576.0,6.08503807447241e+25,4.90168229401058e+28,0.843690991401672,14720190906368.0
30000017,0.0,D1,286636769280.0,1.92777957196719e+26,-6.36266132088953e+18,-1.80273715242547e+18,2.99894102792515e+18,-6.36267429437172e+18,-1.80273715242547e+18,2.99892805444296e+18,-6.36264834740734e+18,-1.80273715242547e+18,2.99895400140734e+18,101189115904.0,145778081792.0,1.89024155458183e+26,6.19383651722925e+28,0.85066157579422,12973482442752.0
30000018,0.0,D1,21551872000.0,1.08984207061326e+24,-5.37158740688938e+18,-1.67574225525236e+18,3.23018228630961e+18,-5.37159539062291e+18,-1.67574225525236e+18,3.23017430257609e+18,-5.37157942315586e+18,-1.67574225525236e+18,3.23019027004313e+18,7608027648.0,10960502784.0,2.04840509119132e+25,9.80337013680177e+27,0.850783884525299,7983733407744.0
30000019,0.0,D1,163646865408.0,6.28360620637945e+25,-5.92478299275879e+18,-2.01677781247558e+18,2.67351189414437e+18,-5.92479375639743e+18,-2.01677781247558e+18,2.67350113050572e+18,-5.92477222912015e+18,-2.01677781247558e+18,2.67352265778301e+18,57818472448.0,83296165888.0,1.11877455218456e+26,2.85532883678241e+28,0.86200487613678,10763638931456.0
30000020,0.0,D1,127826903040.0,3.83387651813211e+25,-5.94370551927948e+18,-1.61785427262119e+18,2.13763065061958e+18,-5.94372015586623e+18,-1.61785427262119e+18,2.13761601403283e+18,-5.94369088269274e+18,-1.61785427262119e+18,2.13764528720632e+18,45120106496.0,65002270720.0,1.57302039073603e+25,1.25851952212192e+28,0.897146701812744,14636586893312.0
30000021,0.0,D1,194191343616.0,8.84816710706993e+25,-5.69577214860363e+18,-2.006116796547e+18,2.48617104911183e+18,-5.69578492189946e+18,-2.006116796547e+18,2.486158275816e+18,-5.6957593753078e+18,-2.006116796547e+18,2.48618382240766e+18,68560781312.0,98772074496.0,7.22487668701358e+25,3.60106535393628e+28,0.871208310127258,12773295652864.0
30000022,0.0,D1,23014723584.0,1.24281104732615e+24,-6.49855667804594e+18,-2.285326006097e+18,2.66679257553511e+18,-6.49856780720015e+18,-2.285326006097e+18,2.6667814463809e+18,-6.49854554889173e+18,-2.285326006097e+18,2.66680370468931e+18,8125854208.0,11706509312.0,3.21266580938028e+25,9.59772642416387e+27,0.844896674156189,11129154699264.0
30000023,0.0,D1,943462088704.0,2.08853844556401e+27,-5.79756541974423e+18,-2.09302257183895e+18,2.10956599531537e+18,-5.79757391780508e+18,-2.09302257183895e+18,2.10955749725451e+18,-5.79755692168337e+18,-2.09302257183895e+18,2.10957449337623e+18,333064437760.0,479829196800.0,4.41935030347309e+26,2.17638627396455e+29,0.878774404525757,8498060984320.0
30000024,0.0,D1,41480044544.0,4.03712297492055e+24,-5.70494434336356e+18,-2.10094615857116e+18,1.98222692901368e+18,-5.70495590717668e+18,-2.10094615857116e+18,1.98221536520057e+18,-5.70493277955045e+18,-2.10094615857116e+18,1.9822384928268e+18,14641984512.0,21093971968.0,3.42020274825596e+24,6.99533414751703e+27,0.882530093193054,11563813568512.0
30000025,0.0,D1,88038227968.0,1.81859578410535e+25,-6.42815977164396e+18,-1.8515513479877e+18,2.03853250175057e+18,-6.42816921900204e+18,-1.8515513479877e+18,2.03852305439249e+18,-6.42815032428588e+18,-1.8515513479877e+18,2.03854194910865e+18,31077742592.0,44772143104.0,7.96721609605102e+25,3.20499504629655e+28,0.880370438098907,9447358332928.0
30000026,0.0,D1,6404409344.0,9.6239149819537e+22,-6.31322097880999e+18,-1.77440361322092e+18,1.92874888829044e+18,-6.31323002793683e+18,-1.77440361322092e+18,1.9287398391636e+18,-6.31321192968315e+18,-1.77440361322092e+18,1.92875793741727e+18,2260517632.0,3256613888.0,2.34748371358083e+20,2.04938825653359e+26,0.888809859752655,9049126993920.0
30000027,0.0,D1,144727031808.0,4.91465349841959e+25,-5.84734180724771e+18,-1.96546376695928e+18,2.36758095539039e+18,-5.84735061978252e+18,-1.96546376695928e+18,2.36757214285558e+18,-5.8473329947129e+18,-1.96546376695928e+18,2.3675897679252e+18,51099160576.0,73615990784.0,8.95920817653579e+23,1.2387190821811e+27,0.875959873199463,8812534693888.0
30000028,0.0,D1,882168168448.0,1.82598136237037e+27,-4.42253714535917e+18,2.91719410246252e+17,1.61920068211904e+18,-4.42254788877016e+18,2.91719410246252e+17,1.61918993870806e+18,-4.42252640194819e+18,2.91719410246252e+17,1.61921142553002e+18,311440211968.0,448676233216.0,8.51233269422672e+26,2.52049699710091e+29,0.921233952045441,10743410851840.0
30000029,0.0,D1,58895482880.0,8.13874671987708e+24,-4.32423291545284e+18,5.82684452868944e+17,1.60248075277777e+18,-4.32423932979837e+18,5.82684452868944e+17,1.60247433843225e+18,-4.32422650110732e+18,5.82684452868944e+17,1.60248716712329e+18,20795324416.0,29958778880.0,1.7105072024976e+25,1.61654278554163e+28,0.903536558151245,6414345437184.0
30000030,0.0,D1,265238396928.0,1.65069324284528e+26,-4.58666330083733e+18,6.36675200655855e+17,1.6789412170223e+18,-4.5866757461746e+18,6.36675200655855e+17,1.67892877168503e+18,-4.58665085550006e+18,6.36675200655855e+17,1.67895366235957e+18,93647798272.0,134913671168.0,1.02246682227048e+25,1.84872486964768e+27,0.909851968288422,12445337780224.0
30000031,0.0,D1,6720191488.0,1.05963646394129e+23,-4.592915362743e+18,1.45470173549954e+17,1.98339909095912e+18,-4.59292362492218e+18,1.45470173549954e+17,1.98339082877994e+18,-4.59290710056382e+18,1.45470173549954e+17,1.9834073531383e+18,2372470016.0,3417898496.0,1.44821940487395e+25,6.33507057475651e+27,0.922709226608276,8262179094528.0
30000032,0.0,D1,164077862912.0,6.31674762678228e+25,-4.53681934516725e+18,1.20723994396386e+17,1.80041386792083e+18,-4.53682935479722e+18,1.20723994396386e+17,1.80040385829086e+18,-4.53680933553728e+18,1.20723994396386e+17,1.8004238775508e+18,57927999488.0,83453960192.0,1.15119774284227e+24,1.40942156249039e+27,0.928728103637695,10009629949952.0
30000033,0.0,D1,123372175360.0,3.57131386402177e+25,-4.81834477904022e+18,9.82871419524799e+16,1.62981240519885e+18,-4.8183557403092e+18,9.82871419524799e+16,1.62980144392987e+18,-4.81833381777124e+18,9.82871419524799e+16,1.62982336646784e+18,43563642880.0,62759952384.0,2.7078159372663e+23,9.20135695460745e+26,0.948282241821289,10961269293056.0
30000034,0.0,D1,22370060288.0,1.17416156131344e+24,-4.43491430373602e+18,2.45567695264036e+17,2.30773759974971e+18,-4.43492560027158e+18,2.45567695264036e+17,2.30772630321415e+18,-4.43490300720046e+18,2.45567695264036e+17,2.30774889628527e+18,7898635776.0,11379168256.0,2.28461541847087e+24,4.98876698208453e+26,0.89800226688385,11296535740416.0
30000035,0.0,D1,18243303424.0,7.8090911534889e+23,-4.55248613340334e+18,4.50888881137996e+17,2.07279751441652e+18,-4.55249377298627e+18,4.50888881137996e+17,2.07278987483359e+18,-4.55247849382041e+18,4.50888881137996e+17,2.07280515399945e+18,6440657408.0,9278731264.0,3.94349006901401e+25,1.02952925600684e+28,0.905223786830902,7639582900224.0
30000036,0.0,D1,40618496000.0,3.87116136548427e+24,-4.84483568515709e+18,-7.08661150257092e+16,1.68881168189502e+18,-4.8448459846371e+18,-7.08661150257092e+16,1.688801382415e+18,-4.84482538567707e+18,-7.08661150257092e+16,1.68882198137503e+18,14340291584.0,20659337216.0,5.87534378887732e+25,2.11246257397683e+28,0.955158472061157,10299480473600.0
30000037,0.0,D1,74184376320.0,1.29127416041838e+25,-4.68092817168644e+18,5.37220732442931e+17,1.72857942392824e+18,-4.68093931073582e+18,5.37220732442931e+17,1.72856828487887e+18,-4.68091703263706e+18,5.37220732442931e+17,1.72859056297762e+18,26187384832.0,37726846976.0,2.04688484889535e+25,9.00491005069493e+27,0.917111039161682,11139049062400.0
30000038,0.0,D1,314038091776.0,2.31397267379442e+26,-4.52211111643281e+18,8.84095045215039e+16,2.16828946477596e+18,-4.52212110138731e+18,8.84095045215039e+16,2.16827947982145e+18,-4.52210113147831e+18,8.84095045215039e+16,2.16829944973046e+18,110869192704.0,159723683840.0,7.59218410449187e+24,2.59597015337804e+27,0.912842512130737,9984954859520.0
30000039,0.0,D1,17540433920.0,7.21895386983708e+23,-4.54944756132508e+18,5.52158223069538e+17,1.75549450994893e+18,-4.54945847993118e+18,5.52158223069538e+17,1.75548359134282e+18,-4.54943664271897e+18,5.52158223069538e+17,1.75550542855503e+18,6193383936.0,8922497024.0,1.2123879967761e+26,1.58635741898312e+28,0.911016523838043,10918605881344.0
30000040,0.0,D1,404833075200.0,3.8454359397216e+26,-4.40195069916431e+18,1.51202654236732e+17,2.08428589889522e+18,-4.40196217240852e+18,1.51202654236732e+17,2.08427442565101e+18,-4.40193922592009e+18,1.51202654236732e+17,2.08429737213943e+18,142913077248.0,205887684608.0,6.00630598726001e+24,2.31919535287006e+27,0.909735262393951,11473243865088.0
30000041,0.0,D1,232365670400.0,1.26688595066283e+26,-4.62468474098724e+18,1.50260425814109e+16,1.68225084383582e+18,-4.62469882757648e+18,1.50260425814109e+16,1.68223675724659e+18,-4.62467065439801e+18,1.50260425814109e+16,1.68226493042506e+18,82038964224.0,118189416448.0,4.30517630240444e+25,1.40447039735143e+28,0.941585779190063,14086588858368.0
30000042,0.0,D1,152431034368.0,5.45180608377634e+25,-4.65849590105734e+18,2.32188401491291e+17,2.09478983758819e+18,-4.65850961779074e+18,2.32188401491291e+17,2.0947761208548e+18,-4.65848218432395e+18,2.32188401491291e+17,2.09480355432158e+18,53822296064.0,77539074048.0,2.13451001919196e+26,6.12036121712228e+28,0.916760623455048,13716733034496.0
30000043,0.0,D1,362095476736.0,3.07637881997012e+26,-4.85772851959027e+18,-1.80582983420376e+17,1.66615423617741e+18,-4.85774003118794e+18,-1.80582983420376e+17,1.66614272457973e+18,-4.8577170079926e+18,-1.80582983420376e+17,1.66616574777508e+18,127825330176.0,184151539712.0,6.13690709062747e+25,3.31732007486647e+28,0.961220920085907,11511597629440.0
30000044,0.0,D1,122188005376.0,3.50308512230064e+25,-4.5671694839729e+18,4.16226788186426e+17,2.16042286816368e+18,-4.56718383246605e+18,4.16226788186426e+17,2.16040851967053e+18,-4.56715513547975e+18,4.16226788186426e+17,2.16043721665683e+18,43141079040.0,62151184384.0,6.51301176035451e+25,1.78623748332868e+28,0.90351676940918,14348492734464.0
30000045,0.0,D1,332374736896.0,2.59208685549611e+26,-4.3241365035557e+18,7.380037396282e+16,2.03446867518218e+18,-4.32414357622646e+18,7.380037396282e+16,2.03446160251142e+18,-4.32412943088494e+18,7.380037396282e+16,2.03447574785294e+18,117338259456.0,169043329024.0,3.41759691507124e+25,9.08534670929346e+27,0.910399794578552,7072670810112.0
30000046,0.0,D1,44581019648.0,4.66330260241901e+24,-4.73784115001575e+18,1.01517306496884e+15,1.65536597978785e+18,-4.7378525640116e+18,1.01517306496884e+15,1.655354565792e+18,-4.7378297360199e+18,1.01517306496884e+15,1.6553773937837e+18,15740471296.0,22676506624.0,1.25773936319818e+24,1.51929804403894e+27,0.948723614215851,11413996175360.0
30000047,0.0,D1,98923536384.0,2.29611096820901e+25,-4.35624433398914e+18,3.90973050407469e+17,2.28688754309263e+18,-4.35625595889381e+18,3.90973050407469e+17,2.28687591818796e+18,-4.35623270908447e+18,3.90973050407469e+17,2.2868991679973e+18,34926579712.0,50316967936.0,5.67211001422543e+25,9.51011058791976e+27,0.891262650489807,11624904654848.0
30000048,0.0,D1,463827206144.0,5.04784489358987e+26,-4.59705507746932e+18,2.37616148387606e+17,1.58036427062508e+18,-4.59706378805097e+18,2.37616148387606e+17,1.58035556004343e+18,-4.59704636688767e+18,2.37616148387606e+17,1.58037298120673e+18,163733864448.0,235883167744.0,1.74825456736976e+26,8.20525721287368e+28,0.933115422725677,8710581649408.0
30000049,0.0,D1,21163571200.0,1.05092441259172e+24,-4.58357066077633e+18,2.29742403526765e+17,1.59870356533231e+18,-4.58357711609743e+18,2.29742403526765e+17,1.5986971100112e+18,-4.58356420545522e+18,2.29742403526765e+17,1.59871002065341e+18,7471628288.0,10763999232.0,1.94520426265628e+24,5.81617340384393e+27,0.932437002658844,6455321165824.0
30000050,0.0,D1,96874299392.0,2.20196639573872e+25,-4.25125611725941e+18,2.93027506981391e+17,2.31879787896977e+18,-4.2512670498611e+18,2.93027506981391e+17,2.31878694636807e+18,-4.25124518465771e+18,2.93027506981391e+17,2.31880881157147e+18,34197843968.0,49267113984.0,1.26871632884354e+25,4.3129358920949e+28,0.888683617115021,10932601225216.0
30000051,0.0,D1,165255020544.0,6.40771128882135e+25,-5.97265508414854e+18,-1.22121544022362e+18,1.53360950599239e+18,-5.97266948806304e+18,-1.22121544022362e+18,1.5335951020779e+18,-5.97264068023405e+18,-1.22121544022362e+18,1.53362390990689e+18,58348519424.0,84059783168.0,2.20082975348576e+26,7.10169022291176e+28,0.929186463356018,14403914170368.0
30000052,0.0,D1,137801007104.0,4.45551957244818e+25,-6.0101086601054e+18,-1.39767762812823e+18,1.69796263153156e+18,-6.01012289746541e+18,-1.39767762812823e+18,1.69794839417155e+18,-6.01009442274538e+18,-1.39767762812823e+18,1.69797686889157e+18,48649142272.0,70086377472.0,1.63703929722916e+24,1.31534626676748e+27,0.9174884557724,14237360455680.0
30000053,0.0,D1,1244055207936.0,3.63138973515813e+27,-5.9581168582855e+18,-9.35751219174754e+17,1.07411740590569e+18,-5.95812991358827e+18,-9.35751219174754e+17,1.07410435060291e+18,-5.95810380298272e+18,-9.35751219174754e+17,1.07413046120846e+18,439233347584.0,632781406208.0,5.70672348480534e+25,2.03985028634461e+28,0.942165493965149,13055302828032.0
30000054,0.0,D1,148769210368.0,5.19301624999767e+25,-5.65512047060537e+18,-5.94092393581181e+17,1.79592915295195e+18,-5.65513096297252e+18,-5.94092393581181e+17,1.7959186605848e+18,-5.65510997823822e+18,-5.94092393581181e+17,1.7959396453191e+18,52516528128.0,75657920512.0,3.61191140073311e+24,1.36917298053085e+27,0.952479243278503,10492367077376.0
30000055,0.0,D1,277355495424.0,1.80495819844538e+26,-5.77936745906709e+18,-9.84215779044609e+17,1.71765079117566e+18,-5.77937722909628e+18,-9.84215779044609e+17,1.71764102114647e+18,-5.7793576890379e+18,-9.84215779044609e+17,1.71766056120485e+18,97918926848.0,141066878976.0,5.2710063169297e+25,1.88600727418976e+28,0.940649509429932,9770029285376.0
30000056,0.0,D1,187529805824.0,8.25152377207546e+25,-5.8189285090757e+18,-7.7831034089171e+17,1.13957098985897e+18,-5.81894329502033e+18,-7.7831034089171e+17,1.13955620391434e+18,-5.81891372313107e+18,-7.7831034089171e+17,1.1395857758036e+18,66200866816.0,95372263424.0,1.42680437215291e+26,6.88348902944094e+28,0.953262388706207,14785945010176.0
30000057,0.0,D1,151815127040.0,5.40783780810805e+25,-5.75809280622888e+18,-1.11558168885169e+18,1.70021449012578e+18,-5.75810257047253e+18,-1.11558168885169e+18,1.70020472588213e+18,-5.75808304198522e+18,-1.11558168885169e+18,1.70022425436943e+18,53603360768.0,77223665664.0,5.46473552198976e+24,1.37812658738237e+27,0.936688423156738,9764243243008.0
30000058,0.0,D1,191683264512.0,8.62108676518536e+25,-5.62990497272015e+18,-1.0565425797121e+18,1.72874077227928e+18,-5.62991189366348e+18,-1.0565425797121e+18,1.72873385133594e+18,-5.62989805177681e+18,-1.0565425797121e+18,1.72874769322261e+18,67665022976.0,97481596928.0,1.13868919591794e+26,6.24075417270985e+28,0.941947042942047,6920943435776.0
30000059,0.0,D1,51566080000.0,6.23909755640195e+24,-5.68546943026372e+18,-1.09525095063084e+18,1.40545877447985e+18,-5.68548145884244e+18,-1.09525095063084e+18,1.40544674590114e+18,-5.685457401685e+18,-1.09525095063084e+18,1.40547080305857e+18,18204985344.0,26227007488.0,1.28998542476053e+25,9.42287017981104e+27,0.945957601070404,12028579151872.0
30000060,0.0,D1,1649485938688.0,6.383969499095e+27,-5.67801222328748e+18,-4.71872783502989e+17,1.66803416735395e+18,-5.67802322606646e+18,-4.71872783502989e+17,1.66802316457498e+18,-5.67800122050851e+18,-4.71872783502989e+17,1.66804517013293e+18,582358859776.0,838975160320.0,4.50067063028804e+24,5.98024258255827e+27,0.958096385002136,11002779271168.0
30000061,0.0,D1,146068733952.0,5.00619961640279e+25,-5.98999709502953e+18,-1.42156727198071e+18,1.62327317801574e+18,-5.99000790417702e+18,-1.42156727198071e+18,1.62326236886825e+18,-5.98998628588204e+18,-1.42156727198071e+18,1.62328398716322e+18,51564261376.0,74286039040.0,3.4368822942474e+25,3.2038375942716e+28,0.918576538562775,10809147129856.0
30000062,0.0,D1,280314281984.0,1.84367330257007e+26,-5.77109075730299e+18,-8.38229936131152e+17,1.85995414106434e+18,-5.77110600431083e+18,-8.38229936131152e+17,1.8599388940565e+18,-5.77107551029515e+18,-8.38229936131152e+17,1.85996938807218e+18,98950504448.0,142553006080.0,8.742473719888e+25,8.16470530741198e+28,0.940326809883118,15247008071680.0
30000063,0.0,D1,9337638912.0,2.04582155983197e+23,-5.7196548074441e+18,-4.96902271561876e+17,1.53614022891829e+18,-5.71966625323252e+18,-4.96902271561876e+17,1.53612878312988e+18,-5.71964336165569e+18,-4.96902271561876e+17,1.53615167470671e+18,3296667392.0,4749342720.0,1.14421379472733e+23,2.66875982490128e+26,0.960317015647888,11445787951104.0
30000064,0.0,D1,278996320256.0,1.82637726639168e+26,-5.76110018098957e+18,-1.05429184310902e+18,1.31481858569234e+18,-5.76111198154433e+18,-1.05429184310902e+18,1.31480678513758e+18,-5.76108838043481e+18,-1.05429184310902e+18,1.31483038624709e+18,98487296000.0,141885702144.0,3.28097248859512e+23,1.5545354572904e+27,0.946040153503418,11800554766336.0
30000065,0.0,D1,331794513920.0,2.58304518388838e+26,-5.63632795235561e+18,-8.09851220545198e+17,1.74428661592619e+18,-5.63633442479875e+18,-8.09851220545198e+17,1.74428014348305e+18,-5.63632147991246e+18,-8.09851220545198e+17,1.74429308836933e+18,117121130496.0,168730525696.0,4.22923493375153e+23,2.08809572370624e+27,0.950560986995697,6472443363328.0
30000066,0.0,D1,329142337536.0,2.54191521649699e+26,-5.83625569541287e+18,-7.24862117218801e+17,1.1751591159133e+18,-5.83627091446467e+18,-7.24862117218801e+17,1.17514389686149e+18,-5.83624047636106e+18,-7.24862117218801e+17,1.1751743349651e+18,116192100352.0,167392116736.0,1.68369575926524e+26,6.43269523064274e+28,0.954060316085815,15219051986944.0
30000067,0.0,D1,17429852160.0,7.12821822684858e+23,-5.81018822217736e+18,-5.47946697038766e+17,1.79899990146155e+18,-5.81019785940014e+18,-5.47946697038766e+17,1.79899026423877e+18,-5.81017858495457e+18,-5.47946697038766e+17,1.79900953868434e+18,6153543168.0,8865100800.0,3.76117052104e+25,1.35940284699965e+28,0.946558713912964,9637222940672.0
30000068,0.0,D1,66319527936.0,1.03199225974154e+25,-5.76982386331267e+18,-6.54601806441369e+17,1.75642045716637e+18,-5.76983177198361e+18,-6.54601806441369e+17,1.75641254849542e+18,-5.76981595464173e+18,-6.54601806441369e+17,1.75642836583731e+18,23409702912.0,33725181952.0,8.00064574683e+24,1.55218708346805e+28,0.948666572570801,7908671094784.0
30000069,0.0,D1,194096365568.0,8.83951373942495e+25,-5.9284708732236e+18,-9.87628352886625e+17,1.62280449609088e+18,-5.92848266030333e+18,-9.87628352886625e+17,1.62279270901115e+18,-5.92845908614386e+18,-9.87628352886625e+17,1.62281628317061e+18,68501299200.0,98686377984.0,7.91420949224737e+23,2.27095085998172e+28,0.937689304351807,11787079516160.0
30000070,0.0,D1,20245616640.0,9.61735485859249e+23,-5.59197891414865e+18,-5.62432640029677e+17,1.63857984533775e+18,-5.59199020061136e+18,-5.62432640029677e+17,1.63856855887505e+18,-5.59196762768595e+18,-5.62432640029677e+17,1.63859113180045e+18,7146989056.0,10296307712.0,5.89863095859597e+25,1.8472058319241e+28,0.962465107440948,11286463119360.0
30000071,0.0,D1,1225996894208.0,3.52673117342524e+27,-5.83226077050061e+18,-8.50225479187718e+17,1.47286898452072e+18,-5.83227426556538e+18,-8.50225479187718e+17,1.47285548945594e+18,-5.83224727543584e+18,-8.50225479187718e+17,1.47288247958549e+18,432869539840.0,623613378560.0,5.14187754044049e+26,1.48954678101938e+29,0.949203968048096,13495065116672.0
30000072,0.0,D1,20349052928.0,9.71587560404085e+23,-5.94389694429915e+18,-9.64772183733678e+17,1.18258959471482e+18,-5.94390961970205e+18,-9.64772183733678e+17,1.18257691931192e+18,-5.94388426889625e+18,-9.64772183733678e+17,1.18260227011772e+18,7183494656.0,10348900352.0,3.09821367752785e+24,4.18722673243924e+27,0.942507743835449,12675402694656.0
30000073,0.0,D1,1022814519296.0,2.45463754596524e+27,-5.70731687817834e+18,-7.76759573814433e+17,1.55867690221023e+18,-5.70732591611308e+18,-7.76759573814433e+17,1.5586678642755e+18,-5.70730784024361e+18,-7.76759573814433e+17,1.55868594014497e+18,361092218880.0,520207400960.0,1.86914696486378e+26,9.84720514950153e+28,0.955105781555176,9037934493696.0
30000074,0.0,D1,1064658010112.0,2.65958456197297e+27,-6.05327546245499e+18,-8.7177142314267e+17,1.12282304497811e+18,-6.05328425783125e+18,-8.7177142314267e+17,1.12281424960185e+18,-6.05326666707874e+18,-8.7177142314267e+17,1.12283184035436e+18,375826055168.0,541433724928.0,1.07762108825291e+25,9.14062732163774e+27,0.940292477607727,8795376320512.0
30000075,0.0,D1,65548156928.0,1.00812540109037e+25,-5.86126975847497e+18,-8.5663836867557e+17,1.60031803591473e+18,-5.86127909483918e+18,-8.5663836867557e+17,1.60030869955052e+18,-5.86126042211077e+18,-8.5663836867557e+17,1.60032737227894e+18,23140102144.0,33336780800.0,1.36853973147691e+25,6.89309963552939e+27,0.945075273513794,9336364466176.0
